"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Unitária";"Venda Quantidade";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Custo Fiscal Unit.";"Custo Fiscal Total (Estq)";"Custo Fiscal Total";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"20,86";"IARA : SABONETE REXONA ANTIBAC 84g ÁGUA DE ROSAS";"6429";"UN 1";"1,000";"2,89";"2,89";"0,00";"0,00";"0,00";"0,00";"0,91";"0,91";"0,00";"31,49";"45,96";"31,49";"1,98";"1,98";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,91";"0,00";"31,49";"0,085";"0,00";"0,084";"0,000";"0,000";"1,98";"35,67";"1,98";"0,00";"0,00";"0,00"
"20,87";"IARA : SABONETE SENADOR 130g CLASSIC";"4864";"UN 1";"1,000";"9,99";"9,99";"0,01";"0,00";"0,00";"0,00";"4,24";"4,24";"0,01";"42,44";"73,74";"42,44";"5,75";"5,75";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"4,24";"0,01";"42,44";"0,140";"0,00";"0,130";"0,000";"0,000";"5,75";"17,25";"5,75";"0,00";"0,00";"0,00"
"20,88";"IARA : SABONETE ÍNTIMO PROTEX 85g DELICATE CARE";"2618";"UN 1";"1,000";"8,99";"8,99";"0,01";"0,00";"0,00";"0,00";"3,21";"3,21";"0,01";"35,71";"55,54";"35,71";"5,78";"5,78";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3,21";"0,01";"35,71";"0,083";"0,00";"0,000";"0,000";"0,000";"5,78";"34,68";"5,78";"0,00";"0,00";"0,00"
"20,89";"IARA : SABONETE ÍNTIMO PROTEX 85g FLESH ESQUILIBR";"2619";"UN 1";"1,000";"8,99";"8,99";"0,01";"0,00";"0,00";"0,00";"3,21";"3,21";"0,01";"35,71";"55,54";"35,71";"5,78";"5,78";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3,21";"0,01";"35,71";"0,083";"0,00";"0,000";"0,000";"0,000";"5,78";"11,56";"5,78";"0,00";"0,00";"0,00"
"20,89";"IARA : SACO PLÁST GELADINHO NSP C/90 UN";"13197";"UN 1";"2,000";"2,99";"5,98";"0,00";"0,00";"0,00";"0,00";"0,43";"0,85";"0,00";"14,21";"66,11";"39,80";"3,60";"3,60";"0,00";"0,00";"0,00";"1,53";"0,00";"0,00";"0,00";"0,00";"0,85";"0,00";"19,12";"0,036";"0,00";"0,000";"0,000";"0,000";"1,80";"64,80";"3,60";"0,00";"0,00";"0,00"
"20,91";"IARA : SALADA DE MAIONESE PRONI 350g";"15492";"UN 1";"2,000";"15,99";"31,98";"0,02";"0,00";"0,00";"0,00";"3,12";"6,24";"0,02";"19,51";"45,50";"31,27";"21,98";"17,55";"0,00";"0,00";"0,00";"8,19";"0,00";"0,00";"0,00";"0,00";"6,24";"0,02";"26,22";"0,000";"0,00";"0,000";"0,000";"0,000";"8,79";"61,50";"17,57";"0,00";"0,00";"0,00"
"20,92";"IARA : SANDUICHEIRA HOMEM-ARANHA";"17795";"UN 1";"1,000";"10,99";"10,99";"0,01";"0,00";"0,00";"0,00";"0,96";"0,96";"0,00";"8,74";"52,22";"34,30";"7,22";"7,22";"0,00";"0,00";"0,00";"2,81";"0,00";"0,00";"0,00";"0,00";"0,96";"0,00";"11,74";"0,000";"0,00";"0,000";"0,000";"0,000";"7,22";"0,00";"7,22";"0,00";"0,00";"0,00"
"20,94";"IARA : SANDUICHEIRA PLÁST SANREMO TRANSPARENTE";"3835";"UN 1";"2,000";"12,99";"25,98";"0,02";"0,00";"0,00";"0,00";"1,48";"2,95";"0,01";"11,35";"58,61";"36,95";"16,38";"16,38";"0,00";"0,00";"0,00";"6,65";"0,00";"0,00";"0,00";"0,00";"2,95";"0,01";"15,26";"0,112";"0,00";"0,110";"0,001";"25.980,000";"8,19";"81,88";"16,38";"0,00";"0,00";"0,00"
"20,95";"IARA : SEQUILHOS SEVEN BOYS 400g";"5655";"UN 1";"1,000";"9,99";"9,99";"0,01";"9,99";"0,01";"100,00";"2,53";"2,53";"0,01";"25,33";"38,75";"27,93";"7,20";"6,53";"0,00";"0,00";"0,00";"0,92";"0,00";"0,00";"0,00";"0,00";"2,53";"0,01";"27,91";"0,418";"0,01";"0,000";"0,000";"0,000";"7,85";"102,04";"7,85";"0,00";"0,00";"0,00"
"20,97";"IARA : SH BAW WAW CÃES 500ml PELOS ESCUROS";"4106";"UN 1";"1,000";"24,99";"24,99";"0,02";"0,00";"0,00";"0,00";"10,49";"10,49";"0,03";"41,98";"119,98";"54,54";"11,36";"10,00";"0,00";"0,00";"0,00";"4,50";"0,00";"0,00";"0,00";"0,00";"10,49";"0,03";"51,20";"0,567";"0,01";"0,000";"0,000";"0,000";"10,00";"49,98";"10,00";"0,00";"0,00";"0,00"
"21,00";"IARA : SH CLEAR 200ml MEN LIMP 2EM1";"5307";"UN 1";"2,000";"21,99";"43,98";"0,03";"0,00";"0,00";"0,00";"8,82";"17,64";"0,05";"40,11";"66,97";"40,11";"26,34";"26,34";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"17,64";"0,05";"40,11";"0,486";"0,01";"0,414";"0,001";"43.980,000";"13,14";"52,54";"26,27";"0,00";"0,00";"0,00"
"21,01";"IARA : SH CLEAR 200ml MEN VINI Jr";"16393";"UN 1";"1,000";"21,99";"21,99";"0,01";"0,00";"0,00";"0,00";"8,82";"8,82";"0,02";"40,11";"66,97";"40,11";"13,17";"13,17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"8,82";"0,02";"40,11";"0,243";"0,00";"0,206";"0,000";"0,000";"13,26";"0,00";"13,26";"0,00";"0,00";"0,00"
"21,03";"IARA : SH CLEAR MEN 400ml HID CAMPEÃ";"6522";"UN 1";"1,000";"35,99";"35,99";"0,02";"0,00";"0,00";"0,00";"12,28";"12,28";"0,03";"34,12";"51,79";"34,12";"23,71";"23,71";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"12,28";"0,03";"34,12";"0,471";"0,01";"0,414";"0,001";"35.990,000";"23,61";"47,22";"23,61";"0,00";"0,00";"0,00"
"21,05";"IARA : SH CLEAR MEN 400ml ICE COOL MEN";"6498";"UN 1";"1,000";"35,99";"35,99";"0,02";"0,00";"0,00";"0,00";"12,28";"12,28";"0,03";"34,12";"51,79";"34,12";"23,71";"23,71";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"12,28";"0,03";"34,12";"0,471";"0,01";"0,414";"0,001";"35.990,000";"23,71";"0,00";"23,71";"0,00";"0,00";"0,00"
"21,12";"IARA : SH CLEAR MEN 400ml LIMPEZA 2EM1";"6499";"UN 1";"3,000";"35,99";"107,97";"0,07";"0,00";"0,00";"0,00";"12,28";"36,83";"0,10";"34,11";"51,77";"34,11";"71,14";"71,14";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"36,83";"0,10";"34,11";"1,413";"0,02";"1,242";"0,002";"53.985,000";"23,71";"0,00";"71,14";"0,00";"0,00";"0,00"
"21,14";"IARA : SH CLEAR MEN LV400PG330mL DETOX DIÁRIO AN";"18727";"UN 1";"1,000";"32,99";"32,99";"0,02";"0,00";"0,00";"0,00";"13,18";"13,18";"0,04";"39,95";"66,53";"39,95";"19,81";"19,81";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"13,18";"0,04";"39,95";"0,471";"0,01";"0,414";"0,001";"32.990,000";"19,86";"19,86";"19,86";"0,00";"0,00";"0,00"
"21,16";"IARA : SH DARLING 650ml 2 EM 1";"2083";"UN 1";"2,000";"15,99";"31,98";"0,02";"0,00";"0,00";"0,00";"5,46";"10,92";"0,03";"34,15";"51,85";"34,15";"21,06";"21,06";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"10,92";"0,03";"34,15";"1,430";"0,02";"0,000";"0,000";"0,000";"10,53";"10,53";"21,06";"0,00";"0,00";"0,00"
"21,17";"IARA : SH DARLING 650ml CERAMIDAS";"2086";"UN 1";"1,000";"15,99";"15,99";"0,01";"0,00";"0,00";"0,00";"5,46";"5,46";"0,01";"34,15";"51,85";"34,15";"10,53";"10,53";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"5,46";"0,01";"34,15";"0,715";"0,01";"0,000";"0,000";"0,000";"10,53";"0,00";"10,53";"0,00";"0,00";"0,00"
"21,19";"IARA : SH DOVE HIDRATAÇÃO VITAMINA 370ml +HIARULÔNICO";"19672";"UN 1";"1,000";"31,99";"31,99";"0,02";"0,00";"0,00";"0,00";"11,29";"11,29";"0,03";"35,29";"54,54";"35,29";"20,70";"20,70";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"11,29";"0,03";"35,29";"0,450";"0,01";"0,000";"0,000";"0,000";"20,70";"2.173,94";"20,70";"0,00";"0,00";"0,00"
"21,21";"IARA : SH DOVE UV REPAIR&GLOW 190ml + FERÚLICO";"20069";"UN 1";"1,000";"22,99";"22,99";"0,02";"0,00";"0,00";"0,00";"10,06";"10,06";"0,03";"43,76";"77,80";"43,76";"12,93";"12,93";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"10,06";"0,03";"43,76";"0,232";"0,00";"0,196";"0,000";"0,000";"12,93";"2.056,54";"12,93";"0,00";"0,00";"0,00"
"21,23";"IARA : SH DOVE UV REPAIR&GLOW 370ml";"20073";"UN 1";"1,000";"32,99";"32,99";"0,02";"0,00";"0,00";"0,00";"12,29";"12,29";"0,03";"37,25";"59,37";"37,25";"20,70";"20,70";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"12,29";"0,03";"37,25";"0,434";"0,01";"0,381";"0,000";"0,000";"20,70";"3.333,38";"20,70";"0,00";"0,00";"0,00"
"21,25";"IARA : SH ELSEVE 200ml ÓLEO EXTRAORDIN";"12285";"UN 1";"1,000";"22,99";"22,99";"0,02";"0,00";"0,00";"0,00";"8,79";"8,79";"0,02";"38,23";"61,90";"38,23";"14,20";"14,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"8,79";"0,02";"38,23";"0,233";"0,00";"0,000";"0,000";"0,000";"14,16";"113,30";"14,16";"0,00";"0,00";"0,00"
"21,28";"IARA : SH ELSEVE 400ml PURE HIALURÔNIC";"12086";"UN 1";"1,000";"39,99";"39,99";"0,03";"0,00";"0,00";"0,00";"14,19";"14,19";"0,04";"35,48";"55,00";"35,48";"25,80";"25,80";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"14,19";"0,04";"35,48";"0,453";"0,01";"0,000";"0,000";"0,000";"25,80";"51,60";"25,80";"0,00";"0,00";"0,00"
"21,31";"IARA : SH ELSEVE 400ml ÓLEO EXTRAORDIN";"12075";"UN 1";"1,000";"39,99";"39,99";"0,03";"0,00";"0,00";"0,00";"14,09";"14,09";"0,04";"35,23";"54,40";"35,23";"25,90";"25,90";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"14,09";"0,04";"35,23";"0,453";"0,01";"0,000";"0,000";"0,000";"25,84";"491,03";"25,84";"0,00";"0,00";"0,00"
"21,33";"IARA : SH ELSEVE COLLAGEN LIFTER 200ml";"22013";"UN 1";"1,000";"24,99";"24,99";"0,02";"0,00";"0,00";"0,00";"10,79";"10,79";"0,03";"43,18";"75,99";"43,18";"14,20";"14,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"10,79";"0,03";"43,18";"0,230";"0,00";"0,000";"0,000";"0,000";"14,20";"2.088,02";"14,20";"0,00";"0,00";"0,00"
"21,34";"IARA : SH GRANADO BEBÊ 250ml TRADICIONAL";"4546";"UN 1";"1,000";"19,99";"19,99";"0,01";"0,00";"0,00";"0,00";"6,93";"6,93";"0,02";"34,67";"53,06";"34,67";"13,06";"13,06";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6,93";"0,02";"34,67";"0,286";"0,00";"0,258";"0,000";"0,000";"13,06";"78,34";"13,06";"0,00";"0,00";"0,00"
"21,36";"IARA : SH HEAD&SHOULDERS 200ml MENTHOL";"9508";"UN 1";"1,000";"25,99";"25,99";"0,02";"0,00";"0,00";"0,00";"10,02";"10,02";"0,03";"38,55";"62,74";"38,55";"15,97";"15,97";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"10,02";"0,03";"38,55";"0,235";"0,00";"0,209";"0,000";"0,000";"15,97";"79,87";"15,97";"0,00";"0,00";"0,00"
"21,38";"IARA : SH JOHNSON'S BABY 200ML REGULAR";"6773";"UN 1";"1,000";"24,99";"24,99";"0,02";"0,00";"0,00";"0,00";"9,58";"9,58";"0,03";"38,34";"62,17";"38,34";"15,41";"15,41";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"9,58";"0,03";"38,34";"0,232";"0,00";"0,200";"0,043";"581,163";"15,41";"231,17";"15,41";"0,00";"0,00";"0,00"
"21,40";"IARA : SH JOHNSON'S BABY 400ML REGULAR";"7161";"UN 1";"1,000";"32,99";"32,99";"0,02";"0,00";"0,00";"0,00";"32,99";"32,99";"0,09";"100,00";"";"100,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"32,99";"0,09";"100,00";"0,448";"0,01";"0,000";"0,008";"4.123,750";"10,80";"129,60";"10,80";"0,00";"0,00";"0,00"
"21,42";"IARA : SH P/CÃES SANOL 500ml PELO CLARO";"5331";"UN 1";"1,000";"24,99";"24,99";"0,02";"0,00";"0,00";"0,00";"8,78";"8,78";"0,02";"35,13";"80,82";"44,70";"13,82";"11,71";"0,00";"0,00";"0,00";"4,50";"0,00";"0,00";"0,00";"0,00";"8,78";"0,02";"42,85";"0,563";"0,01";"0,563";"0,001";"24.990,000";"12,51";"75,06";"12,51";"0,00";"0,00";"0,00"
"21,43";"IARA : SH SEDA 300ml REGENERAÇÃO INT";"20145";"UN 1";"1,000";"13,99";"13,99";"0,01";"0,00";"0,00";"0,00";"6,10";"6,10";"0,02";"43,60";"77,31";"43,60";"7,89";"7,89";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6,10";"0,02";"43,60";"0,338";"0,00";"0,000";"0,000";"0,000";"7,89";"78,87";"7,89";"0,00";"0,00";"0,00"
"21,44";"IARA : SH SEDA 300ml TOQUE DE SEDA";"7364";"UN 1";"1,000";"13,99";"13,99";"0,01";"0,00";"0,00";"0,00";"6,10";"6,10";"0,02";"43,60";"77,31";"43,60";"7,89";"7,89";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6,10";"0,02";"43,60";"0,340";"0,00";"0,309";"0,001";"13.990,000";"7,62";"1.029,19";"7,62";"0,00";"0,00";"0,00"
"21,45";"IARA : SH SEDA 325ml ANTICASPA";"7350";"UN 1";"1,000";"13,99";"13,99";"0,01";"0,00";"0,00";"0,00";"6,44";"6,44";"0,02";"46,03";"85,30";"46,03";"7,55";"7,55";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6,44";"0,02";"46,03";"0,350";"0,00";"0,325";"0,001";"13.990,000";"7,55";"286,90";"7,55";"0,00";"0,00";"0,00"
"21,46";"IARA : SH SEDA 325ml LISO PERFEITO";"7343";"UN 1";"1,000";"13,99";"13,99";"0,01";"0,00";"0,00";"0,00";"6,10";"6,10";"0,02";"43,60";"77,31";"43,60";"7,89";"7,89";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6,10";"0,02";"43,60";"0,350";"0,00";"0,325";"0,001";"13.990,000";"7,75";"495,73";"7,75";"0,00";"0,00";"0,00"
"21,47";"IARA : SH SEDA 325ml SOS CERAMIDAS";"7345";"UN 1";"1,000";"13,99";"13,99";"0,01";"0,00";"0,00";"0,00";"6,10";"6,10";"0,02";"43,60";"77,31";"43,60";"7,89";"7,89";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6,10";"0,02";"43,60";"0,350";"0,00";"0,325";"0,001";"13.990,000";"7,76";"201,79";"7,76";"0,00";"0,00";"0,00"
"21,49";"IARA : SH TRESEMMÉ 400mL BLEND ÓLEOS BRI";"5334";"UN 1";"1,000";"27,99";"27,99";"0,02";"0,00";"0,00";"0,00";"9,17";"9,17";"0,02";"32,76";"48,72";"32,76";"18,82";"18,82";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"9,17";"0,02";"32,76";"0,455";"0,01";"0,413";"0,001";"27.990,000";"18,69";"1.233,48";"18,69";"0,00";"0,00";"0,00"
"21,51";"IARA : SH TRESEMMÉ 400mL BLINDAGEM ANTIU";"5332";"UN 1";"1,000";"27,99";"27,99";"0,02";"0,00";"0,00";"0,00";"9,32";"9,32";"0,03";"33,30";"49,92";"33,30";"18,67";"18,67";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"9,32";"0,03";"33,30";"0,455";"0,01";"0,413";"0,001";"27.990,000";"18,67";"1.157,28";"18,67";"0,00";"0,00";"0,00"
"21,51";"IARA : SNACK CROCANTÍSSIMO 40g CHURRASCO";"17433";"UN 1";"2,000";"2,99";"5,98";"0,00";"5,98";"0,00";"100,00";"0,15";"0,30";"0,00";"5,02";"14,12";"12,37";"5,24";"4,14";"0,00";"0,00";"0,00";"1,53";"0,00";"0,00";"0,00";"0,00";"0,30";"0,00";"6,75";"0,086";"0,00";"0,000";"0,000";"0,000";"2,24";"498,69";"4,47";"0,00";"0,00";"0,00"
"21,52";"IARA : SNACK CROCANTÍSSIMO 40g PEITO PERU";"17434";"UN 1";"3,000";"2,99";"8,97";"0,01";"8,97";"0,01";"100,00";"-0,15";"-0,44";"0,00";"-4,91";"14,12";"12,37";"7,86";"7,11";"0,00";"0,00";"0,00";"2,30";"0,00";"0,00";"0,00";"0,00";"-0,44";"0,00";"-6,60";"0,129";"0,00";"0,000";"0,000";"0,000";"2,26";"452,97";"6,79";"0,00";"0,00";"0,00"
"21,52";"IARA : SONHO C/ CREME AVELÃ Kg";"18178";"KG 1";"0,212";"32,97";"6,99";"0,00";"0,00";"0,00";"0,00";"26,32";"5,58";"0,02";"79,83";"";"100,00";"0,00";"0,00";"0,00";"0,00";"0,00";"1,41";"0,00";"0,00";"0,00";"0,00";"5,58";"0,02";"99,98";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"21,53";"IARA : SONHO C/ DOCE DE LEITE Kg";"18262";"KG 1";"0,338";"35,00";"11,83";"0,01";"0,00";"0,00";"0,00";"27,96";"9,45";"0,03";"79,88";"";"100,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2,38";"0,00";"0,00";"0,00";"0,00";"9,45";"0,03";"100,03";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"21,57";"IARA : SORV SR.CREME 2L CHOC SUIÇO/BRAN";"12186";"UN 1";"3,000";"20,99";"62,97";"0,04";"62,97";"0,04";"100,00";"3,05";"9,15";"0,02";"14,53";"20,47";"16,99";"52,27";"48,00";"0,00";"0,00";"0,00";"5,82";"0,00";"0,00";"0,00";"0,00";"9,15";"0,02";"16,01";"3,006";"0,04";"0,000";"0,000";"0,000";"18,34";"146,73";"55,03";"0,00";"0,00";"0,00"
"21,58";"IARA : SORV SR.CREME 2L FLOCOS";"12214";"UN 1";"1,000";"20,99";"20,99";"0,01";"20,99";"0,01";"100,00";"3,05";"3,05";"0,01";"14,53";"20,49";"17,01";"17,42";"16,00";"0,00";"0,00";"0,00";"1,94";"0,00";"0,00";"0,00";"0,00";"3,05";"0,01";"16,01";"1,002";"0,01";"0,000";"0,000";"0,000";"17,93";"376,52";"17,93";"0,00";"0,00";"0,00"
"21,61";"IARA : SORV SR.CREME 2L MORANGO/CHOC";"12217";"UN 1";"2,000";"20,99";"41,98";"0,03";"41,98";"0,03";"100,00";"3,05";"6,10";"0,02";"14,53";"20,46";"16,98";"34,85";"32,00";"0,00";"0,00";"0,00";"3,88";"0,00";"0,00";"0,00";"0,00";"6,10";"0,02";"16,01";"2,004";"0,03";"0,000";"0,000";"0,000";"18,38";"275,64";"36,75";"0,00";"0,00";"0,00"
"21,62";"IARA : SORV SR.CREME 2L NAPOLITANO";"12228";"UN 1";"1,000";"20,99";"20,99";"0,01";"20,99";"0,01";"100,00";"3,05";"3,05";"0,01";"14,53";"20,49";"17,01";"17,42";"16,00";"0,00";"0,00";"0,00";"1,94";"0,00";"0,00";"0,00";"0,00";"3,05";"0,01";"16,01";"1,002";"0,01";"0,000";"0,000";"0,000";"18,37";"110,22";"18,37";"0,00";"0,00";"0,00"
"21,63";"IARA : SORV SR.CREME 2L OLHO DE SOGRA";"12236";"UN 1";"1,000";"20,99";"20,99";"0,01";"20,99";"0,01";"100,00";"3,05";"3,05";"0,01";"14,53";"20,49";"17,01";"17,42";"16,00";"0,00";"0,00";"0,00";"1,94";"0,00";"0,00";"0,00";"0,00";"3,05";"0,01";"16,01";"1,002";"0,01";"0,000";"0,000";"0,000";"16,91";"591,98";"16,91";"0,00";"0,00";"0,00"
"21,64";"IARA : TALCO ANTISSÉP TENYSPÉ 100g ORIGINAL";"6922";"UN 1";"1,000";"15,99";"15,99";"0,01";"0,00";"0,00";"0,00";"5,00";"5,00";"0,01";"31,27";"45,50";"31,27";"10,99";"10,99";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"5,00";"0,01";"31,27";"0,134";"0,00";"0,100";"0,000";"0,000";"10,99";"263,76";"10,99";"0,00";"0,00";"0,00"
"21,65";"IARA : TALCO ANTISSÉP TENYSPÉ 100g SABRINA SATO";"20113";"UN 1";"1,000";"15,99";"15,99";"0,01";"0,00";"0,00";"0,00";"5,00";"5,00";"0,01";"31,27";"45,50";"31,27";"10,99";"10,99";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"5,00";"0,01";"31,27";"0,134";"0,00";"0,100";"0,000";"0,000";"10,99";"318,71";"10,99";"0,00";"0,00";"0,00"
"21,66";"IARA : TALCO ANTISSÉP TENYSPÉ 100g SPORT EDITION";"6925";"UN 1";"1,000";"15,99";"15,99";"0,01";"0,00";"0,00";"0,00";"5,00";"5,00";"0,01";"31,27";"45,50";"31,27";"10,99";"10,99";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"5,00";"0,01";"31,27";"0,134";"0,00";"0,100";"0,000";"0,000";"10,99";"186,83";"10,99";"0,00";"0,00";"0,00"
"21,67";"IARA : TALCO DESOD REXONA P/PÉS 100g SPORT";"5174";"UN 1";"1,000";"13,99";"13,99";"0,01";"0,00";"0,00";"0,00";"6,27";"6,27";"0,02";"44,82";"81,22";"44,82";"7,72";"7,72";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6,27";"0,02";"44,82";"0,131";"0,00";"0,100";"0,000";"0,000";"7,72";"15,45";"7,72";"0,00";"0,00";"0,00"
"21,71";"IARA : TAÇA AMERICANA CHOCOLATE Kg";"18464";"KG 1";"1,658";"36,00";"59,68";"0,04";"0,00";"0,00";"0,00";"6,91";"11,45";"0,03";"19,19";"49,20";"32,98";"40,00";"36,21";"0,00";"0,00";"0,00";"12,03";"0,00";"0,00";"0,00";"0,00";"11,45";"0,03";"24,03";"0,000";"0,00";"0,000";"0,000";"0,000";"21,84";"0,00";"36,21";"0,00";"0,00";"0,00"
"21,71";"IARA : TIC TAC MUNDIAL BELEZA unid";"15402";"UN 1";"1,000";"5,99";"5,99";"0,00";"0,00";"0,00";"0,00";"2,45";"2,45";"0,01";"40,90";"100,33";"50,08";"2,99";"2,99";"0,00";"0,00";"0,00";"0,55";"0,00";"0,00";"0,00";"0,00";"2,45";"0,01";"45,07";"0,010";"0,00";"0,000";"0,000";"0,000";"2,99";"98,67";"2,99";"0,00";"0,00";"0,00"
"21,73";"IARA : TINT BIOCOLOR MINI 5.0 CAST CLARO";"11381";"UN 1";"2,000";"15,99";"31,98";"0,02";"0,00";"0,00";"0,00";"6,70";"13,40";"0,04";"41,90";"72,12";"41,90";"18,58";"18,58";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"13,40";"0,04";"41,90";"0,304";"0,00";"0,000";"0,000";"0,000";"9,29";"37,16";"18,58";"0,00";"0,00";"0,00"
"21,75";"IARA : TINT COR E TON 0% AMÔNIA 6.7 CHOCOLATE";"11862";"UN 1";"1,000";"22,99";"22,99";"0,02";"25,99";"0,02";"113,05";"6,79";"6,79";"0,02";"29,53";"41,83";"29,49";"16,21";"16,21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6,79";"0,02";"29,53";"0,148";"0,00";"0,000";"0,000";"0,000";"16,21";"32,41";"16,21";"0,00";"0,00";"0,00"
"21,77";"IARA : TOALHA PAPEL KITCHEN FD C/60fls 2un";"4951";"UN 1";"4,000";"8,99";"35,96";"0,02";"0,00";"0,00";"0,00";"3,00";"11,98";"0,03";"33,31";"58,00";"36,71";"22,76";"20,65";"0,00";"0,00";"0,00";"3,33";"0,00";"0,00";"0,00";"0,00";"11,98";"0,03";"36,71";"0,856";"0,01";"0,800";"0,017";"2.115,294";"5,18";"435,40";"20,73";"0,00";"0,00";"0,00"
"21,84";"IARA : TOALHA PAPEL MILI BIANCO C/50fls 2un";"2268";"UN 1";"14,000";"6,98";"97,67";"0,07";"0,00";"0,00";"0,00";"2,99";"41,89";"0,11";"42,89";"108,96";"52,14";"46,74";"46,74";"0,00";"0,00";"0,00";"9,03";"0,00";"0,00";"0,00";"0,00";"41,89";"0,11";"47,26";"2,632";"0,03";"2,800";"0,050";"1.953,400";"3,34";"23,35";"46,70";"0,00";"0,00";"0,00"
"21,85";"IARA : TOALHA PAPEL MILI C/55fls 2un";"1841";"UN 1";"2,000";"8,99";"17,98";"0,01";"0,00";"0,00";"0,00";"3,91";"7,81";"0,02";"43,44";"111,28";"52,67";"8,51";"8,51";"0,00";"0,00";"0,00";"1,66";"0,00";"0,00";"0,00";"0,00";"7,81";"0,02";"47,86";"0,384";"0,00";"1,000";"0,006";"2.996,667";"4,25";"697,57";"8,51";"0,00";"0,00";"0,00"
"21,89";"IARA : TOALHA PAPEL SCALA PLUS C/2 60FLS";"21322";"UN 1";"6,000";"8,99";"53,94";"0,04";"0,00";"0,00";"0,00";"2,89";"17,35";"0,05";"32,17";"70,64";"41,40";"31,61";"31,61";"0,00";"0,00";"0,00";"4,99";"0,00";"0,00";"0,00";"0,00";"17,35";"0,05";"35,44";"1,500";"0,02";"0,000";"0,000";"0,000";"5,27";"42,14";"31,61";"0,00";"0,00";"0,00"
